MODALITY,OBSERVATION,CATEGORY,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
CT,Aortic Aneurysm,AGREE,2018,10,40,32,35,26,78,67,23,24,12,26,76
CT,Aortic Aneurysm,DISAGREE,2018,15,50,34,36,16,58,61,33,34,10,16,106
CT,Aortic Aneurysm,INEVALUATION,2018,110,140,132,135,126,178,167,123,124,12,126,176
CT,Aortic Aneurysm,NONFEEDBACK,2018,100,400,320,350,260,780,670,230,240,120,260,760
CT,Emphysema,AGREE,2018,10,40,32,35,26,78,67,23,24,12,26,76
CT,Emphysema,DISAGREE,2018,10,40,32,35,26,78,67,23,24,12,26,76
CT,Emphysema,INEVALUATION,2018,10,40,32,35,26,78,67,23,24,12,26,76
CT,Emphysema,NONFEEDBACK,2018,10,40,32,35,26,78,67,23,24,12,26,76
DX,Pneumonia,AGREE,2018,10,40,32,35,26,78,67,23,24,12,26,76
DX,Pneumonia,DISAGREE,2018,10,40,32,35,26,78,67,23,24,12,26,76
DX,Pneumonia,INEVALUATION,2018,10,40,32,35,26,78,67,23,24,12,26,76
DX,Pneumonia,NONFEEDBACK,2018,10,40,32,35,26,78,67,23,24,12,26,76
DX,Pulmonary Edema,AGREE,2018,10,40,32,35,26,78,67,23,24,12,26,76
DX,Pulmonary Edema,DISAGREE,2018,10,40,32,35,26,78,67,23,24,12,26,76
DX,Pulmonary Edema,INEVALUATION,2018,10,40,32,35,26,78,67,23,24,12,26,76
DX,Pulmonary Edema,NONFEEDBACK,2018,10,40,32,35,26,78,67,23,24,12,26,76
CT,Aortic Aneurysm,AGREE,2019,10,40,32,35,26,78,67,23,24,12,26,76
CT,Aortic Aneurysm,DISAGREE,2019,15,50,34,36,16,58,61,33,34,10,16,106
CT,Aortic Aneurysm,INEVALUATION,2019,110,140,132,135,126,178,167,123,124,12,126,176
CT,Aortic Aneurysm,NONFEEDBACK,2019,100,400,320,350,260,780,670,230,240,120,260,760
CT,Emphysema,AGREE,2019,10,40,32,35,26,78,67,23,24,12,26,76
CT,Emphysema,DISAGREE,2019,10,40,32,35,26,78,67,23,24,12,26,76
CT,Emphysema,INEVALUATION,2019,10,40,32,35,26,78,67,23,24,12,26,76
CT,Emphysema,NONFEEDBACK,2019,10,40,32,35,26,78,67,23,24,12,26,76
DX,Pneumonia,AGREE,2019,10,40,32,35,26,78,67,23,24,12,26,76
DX,Pneumonia,DISAGREE,2019,10,40,32,35,26,78,67,23,24,12,26,76
DX,Pneumonia,INEVALUATION,2019,10,40,32,35,26,78,67,23,24,12,26,76
DX,Pneumonia,NONFEEDBACK,2019,10,40,32,35,26,78,67,23,24,12,26,76
DX,Pulmonary Edema,AGREE,2019,10,40,32,35,26,78,67,23,24,12,26,76
DX,Pulmonary Edema,DISAGREE,2019,10,40,32,35,26,78,67,23,24,12,26,76
DX,Pulmonary Edema,INEVALUATION,2019,10,40,32,35,26,78,67,23,24,12,26,76
DX,Pulmonary Edema,NONFEEDBACK,2019,10,40,32,35,26,78,67,23,24,12,26,76
